src/loader/GLTF.js: line 386, col 13, Empty block.
src/loader/GLTF.js: line 613, col 0, Identifier 'aspect_ratio' is not in camel case.
src/loader/GLTF.js: line 14, col 9, 'Shader' is defined but never used.
src/loader/GLTF.js: line 18, col 9, 'Texture' is defined but never used.
src/loader/GLTF.js: line 20, col 9, 'TextureCube' is defined but never used.
src/loader/GLTF.js: line 31, col 9, 'Vector3' is defined but never used.
src/loader/GLTF.js: line 32, col 9, 'Quaternion' is defined but never used.

src/loader/ThreeModel.js: line 18, col 9, 'TextureCube' is defined but never used.

src/math/Frustum.js: line 5, col 9, 'Vector3' is defined but never used.

src/math/Matrix2.js: line 8, col 14, 'makeProperty' is defined but never used.

src/math/Matrix2d.js: line 8, col 14, 'makeProperty' is defined but never used.

src/math/Matrix3.js: line 8, col 14, 'makeProperty' is defined but never used.

src/math/Matrix4.js: line 441, col 14, Missing semicolon.
src/math/Matrix4.js: line 12, col 14, 'makeProperty' is defined but never used.

src/particleSystem/Emitter.js: line 8, col 9, 'vec3' is defined but never used.

src/particleSystem/ParticleRenderable.js: line 6, col 9, 'Vector3' is defined but never used.
src/particleSystem/ParticleRenderable.js: line 14, col 9, 'vec3' is defined but never used.

src/plugin/FirstPersonControl.js: line 5, col 9, 'Matrix4' is defined but never used.
src/plugin/FirstPersonControl.js: line 6, col 9, 'Quaternion' is defined but never used.

src/plugin/InfinitePlane.js: line 7, col 9, 'Matrix4' is defined but never used.
src/plugin/InfinitePlane.js: line 10, col 9, 'PerspectiveCamera' is defined but never used.
src/plugin/InfinitePlane.js: line 13, col 9, 'mat4' is defined but never used.
src/plugin/InfinitePlane.js: line 15, col 9, 'vec4' is defined but never used.

src/plugin/OrbitControl.js: line 6, col 9, 'Quaternion' is defined but never used.

src/plugin/Skybox.js: line 7, col 9, 'shaderLibrary' is defined but never used.

src/plugin/Skydome.js: line 7, col 9, 'shaderLibrary' is defined but never used.

src/prePass/EnvironmentMap.js: line 8, col 9, 'TextureCube' is defined but never used.

src/prePass/Reflection.js: line 4, col 9, 'Vector4' is defined but never used.

src/prePass/ShadowMap.js: line 11, col 9, 'Light' is defined but never used.
src/prePass/ShadowMap.js: line 12, col 9, 'Mesh' is defined but never used.
src/prePass/ShadowMap.js: line 16, col 9, 'shaderLibrary' is defined but never used.
src/prePass/ShadowMap.js: line 29, col 9, 'vec3' is defined but never used.

src/shader/library.js: line 7, col 9, 'util' is defined but never used.

src/util/mesh.js: line 5, col 9, 'Geometry' is defined but never used.
src/util/mesh.js: line 11, col 9, 'Shader' is defined but never used.

src/util/texture.js: line 5, col 9, 'Texture' is defined but never used.

36 errors
